channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,true_locs
50.0,15.0,23.0,-21.0,-4.0,-10.0,-28.0,20.0,38.0,66.0,0.0
56.0,14.0,29.0,-6.0,-7.0,-16.0,-50.0,5.0,-1.0,18.0,0.0
49.0,10.0,26.0,-1.0,-5.0,-16.0,-55.0,8.0,-4.0,-69.0,0.0
6.0,0.0,0.0,-13.0,-4.0,7.0,-5.0,21.0,28.0,-130.0,0.0
-20.0,-3.0,2.0,-4.0,3.0,31.0,39.0,21.0,19.0,-160.0,0.0
-26.0,-3.0,12.0,-4.0,1.0,25.0,25.0,7.0,-11.0,-172.0,0.0
-69.0,-22.0,-1.0,-16.0,-10.0,5.0,2.0,-3.0,-8.0,-152.0,0.0
-61.0,-24.0,-5.0,-12.0,-5.0,5.0,0.0,29.0,37.0,-82.0,0.0
-25.0,-8.0,-11.0,2.0,-1.0,8.0,9.0,50.0,59.0,-37.0,0.0
0.0,11.0,-2.0,6.0,-3.0,-5.0,-10.0,23.0,26.0,6.0,0.0
1.0,28.0,-19.0,11.0,-5.0,5.0,-20.0,13.0,15.0,65.0,0.0
-14.0,13.0,-20.0,-11.0,-18.0,4.0,-8.0,11.0,54.0,94.0,0.0
8.0,14.0,-18.0,-24.0,-30.0,-16.0,-8.0,15.0,69.0,150.0,0.0
60.0,28.0,-14.0,-13.0,-19.0,-15.0,-5.0,5.0,35.0,186.0,0.0
49.0,31.0,-8.0,-12.0,-6.0,0.0,-11.0,-15.0,-27.0,151.0,0.0
8.0,35.0,4.0,-8.0,-13.0,-4.0,-14.0,-36.0,-59.0,70.0,0.0
-28.0,21.0,-5.0,-10.0,-24.0,-8.0,-7.0,-21.0,-25.0,44.0,0.0
-49.0,-7.0,4.0,-19.0,-17.0,10.0,9.0,1.0,48.0,83.0,0.0
-53.0,-19.0,-2.0,2.0,-8.0,23.0,42.0,26.0,106.0,105.0,0.0
-18.0,-15.0,-1.0,0.0,-11.0,18.0,39.0,34.0,122.0,98.0,0.0
19.0,-17.0,-2.0,-9.0,-1.0,14.0,23.0,29.0,92.0,77.0,0.0
22.0,-12.0,-3.0,-12.0,-1.0,3.0,16.0,0.0,-11.0,-36.0,0.0
-16.0,-13.0,2.0,-6.0,9.0,11.0,7.0,-22.0,-119.0,-200.0,0.0
-38.0,-6.0,18.0,7.0,16.0,31.0,12.0,-28.0,-126.0,-196.0,0.0
-33.0,7.0,18.0,9.0,10.0,19.0,9.0,-31.0,-121.0,-110.0,0.0
-42.0,13.0,17.0,11.0,20.0,17.0,1.0,-30.0,-100.0,-39.0,0.0
-51.0,9.0,14.0,9.0,25.0,12.0,14.0,-2.0,-29.0,41.0,0.0
-20.0,9.0,16.0,-4.0,21.0,5.0,3.0,14.0,-2.0,105.0,0.0
16.0,9.0,9.0,-13.0,11.0,2.0,-7.0,12.0,-7.0,145.0,0.0
30.0,12.0,16.0,-20.0,9.0,-8.0,-9.0,18.0,10.0,140.0,0.0
1.0,-5.0,15.0,-10.0,8.0,0.0,3.0,31.0,51.0,83.0,0.0
-56.0,-30.0,2.0,-7.0,7.0,9.0,2.0,34.0,34.0,-21.0,0.0
-96.0,-29.0,-6.0,-8.0,6.0,3.0,-18.0,-21.0,-56.0,-163.0,0.0
-86.0,-8.0,-3.0,-11.0,-1.0,0.0,-16.0,-48.0,-78.0,-186.0,0.0
-42.0,0.0,0.0,-11.0,-10.0,-3.0,-21.0,-33.0,-51.0,-111.0,0.0
-26.0,5.0,4.0,-3.0,-4.0,-8.0,-26.0,-20.0,-31.0,-82.0,0.0
-27.0,6.0,11.0,7.0,-9.0,-1.0,-30.0,-10.0,1.0,-57.0,0.0
-14.0,13.0,11.0,6.0,-4.0,8.0,-15.0,0.0,33.0,-20.0,0.0
-24.0,9.0,15.0,1.0,1.0,-3.0,0.0,9.0,39.0,6.0,0.0
-22.0,-2.0,9.0,1.0,11.0,-3.0,3.0,2.0,29.0,28.0,0.0
18.0,-2.0,4.0,4.0,9.0,6.0,-5.0,-9.0,17.0,44.0,0.0
48.0,-3.0,0.0,-1.0,-10.0,-3.0,-18.0,-20.0,-34.0,-4.0,0.0
33.0,-6.0,-12.0,-2.0,-13.0,2.0,-20.0,-37.0,-82.0,-52.0,0.0
-4.0,-17.0,-7.0,-2.0,-18.0,4.0,-9.0,-24.0,-58.0,-51.0,0.0
-30.0,-21.0,-4.0,-11.0,-15.0,-11.0,-14.0,10.0,2.0,-42.0,0.0
-21.0,-12.0,-3.0,-6.0,-1.0,-12.0,-9.0,25.0,48.0,-6.0,0.0
9.0,5.0,-3.0,-7.0,-6.0,-6.0,-10.0,20.0,54.0,65.0,0.0
11.0,2.0,1.0,-18.0,-10.0,-2.0,-6.0,20.0,55.0,104.0,0.0
-2.0,-14.0,-9.0,-12.0,-3.0,19.0,7.0,16.0,53.0,95.0,0.0
-4.0,-24.0,-17.0,-6.0,12.0,20.0,7.0,15.0,39.0,102.0,0.0
9.0,-20.0,-20.0,-4.0,6.0,15.0,0.0,10.0,19.0,100.0,0.0
27.0,-3.0,-5.0,0.0,-1.0,18.0,-15.0,-1.0,-10.0,70.0,0.0
69.0,33.0,1.0,-7.0,-7.0,-12.0,-22.0,-13.0,-8.0,60.0,0.0
71.0,42.0,-9.0,-20.0,-19.0,-26.0,-14.0,-5.0,9.0,79.0,0.0
30.0,13.0,-25.0,-15.0,-13.0,-12.0,0.0,12.0,22.0,86.0,0.0
12.0,-3.0,-27.0,-6.0,3.0,-3.0,-2.0,19.0,16.0,70.0,0.0
19.0,-2.0,-16.0,-9.0,13.0,-19.0,-10.0,2.0,-8.0,7.0,0.0
-3.0,-11.0,-7.0,-10.0,8.0,-16.0,-2.0,-6.0,-30.0,-69.0,0.0
-26.0,-34.0,0.0,-14.0,10.0,-1.0,12.0,7.0,-32.0,-93.0,0.0
-30.0,-38.0,-7.0,-37.0,10.0,-10.0,12.0,12.0,-29.0,-102.0,0.0
-36.0,-55.0,-11.0,-34.0,16.0,-27.0,3.0,9.0,-17.0,-89.0,0.0
-39.0,-68.0,-7.0,0.0,17.0,-16.0,6.0,6.0,-19.0,-69.0,0.0
-32.0,-85.0,0.0,-5.0,20.0,1.0,29.0,0.0,-28.0,-50.0,0.0
-29.0,-79.0,6.0,-6.0,18.0,-7.0,25.0,-16.0,-32.0,-24.0,0.0
-26.0,-62.0,12.0,-6.0,13.0,-12.0,19.0,-20.0,-39.0,-6.0,0.0
-11.0,-50.0,19.0,-9.0,4.0,-3.0,2.0,-24.0,-27.0,-2.0,0.0
4.0,-54.0,11.0,-16.0,-7.0,-5.0,-6.0,-12.0,-3.0,-9.0,0.0
33.0,-45.0,7.0,-12.0,-7.0,-14.0,8.0,2.0,19.0,-24.0,0.0
39.0,-46.0,-1.0,-9.0,-2.0,-5.0,19.0,0.0,52.0,-3.0,0.0
68.0,-47.0,2.0,-13.0,-8.0,3.0,1.0,-8.0,66.0,72.0,0.0
90.0,-32.0,2.0,-12.0,-7.0,-9.0,-10.0,-13.0,15.0,87.0,0.0
83.0,-35.0,12.0,-12.0,-10.0,-21.0,-8.0,-15.0,-24.0,47.0,0.0
70.0,-40.0,20.0,-2.0,4.0,-19.0,-12.0,-30.0,-72.0,-14.0,0.0
42.0,-33.0,24.0,2.0,8.0,-12.0,-14.0,-28.0,-84.0,-58.0,0.0
12.0,-29.0,31.0,0.0,8.0,-14.0,-8.0,-14.0,-50.0,-50.0,0.0
-29.0,-40.0,23.0,0.0,13.0,-24.0,-4.0,-19.0,-58.0,-69.0,0.0
-49.0,-52.0,9.0,2.0,14.0,-9.0,6.0,-14.0,-26.0,-73.0,0.0
-62.0,-43.0,8.0,2.0,16.0,-4.0,14.0,6.0,33.0,-53.0,0.0
-57.0,-40.0,12.0,7.0,28.0,-9.0,15.0,17.0,65.0,-5.0,0.0
-27.0,-34.0,23.0,17.0,25.0,-16.0,7.0,12.0,76.0,49.0,0.0
-17.0,-44.0,14.0,24.0,31.0,-17.0,3.0,-6.0,40.0,44.0,0.0
-15.0,-36.0,9.0,12.0,38.0,-11.0,-9.0,-11.0,21.0,17.0,0.0
-27.0,-22.0,9.0,8.0,24.0,-8.0,-4.0,-21.0,-30.0,-126.0,0.0
-45.0,-14.0,7.0,14.0,17.0,-10.0,17.0,-26.0,-57.0,-236.0,0.0
-45.0,-9.0,5.0,20.0,21.0,-19.0,31.0,1.0,-18.0,-195.0,0.0
-39.0,-7.0,12.0,19.0,17.0,-24.0,25.0,20.0,-9.0,-149.0,0.0
-40.0,-11.0,0.0,8.0,9.0,-8.0,18.0,15.0,-33.0,-111.0,0.0
-24.0,-20.0,-9.0,-2.0,0.0,-8.0,-4.0,-7.0,-53.0,-74.0,0.0
18.0,15.0,2.0,-1.0,1.0,-26.0,-18.0,-25.0,-20.0,-41.0,0.0
26.0,18.0,18.0,-7.0,-6.0,-31.0,-13.0,-3.0,20.0,-16.0,0.0
-5.0,-4.0,5.0,-4.0,7.0,-5.0,-2.0,5.0,17.0,-31.0,0.0
-17.0,-5.0,-20.0,-2.0,17.0,7.0,11.0,-6.0,-22.0,-42.0,0.0
11.0,11.0,-19.0,2.0,25.0,13.0,6.0,-27.0,-12.0,62.0,0.0
